x_dynein,y_dynein,x_cell,y_cell,Dynein Intensity,Cell Intensity
66,467,66,469,676.8888888888889,694.3333333333334
462,461,452,456,497.0,420.44444444444446
138,461,130,457,1283.5555555555557,461.8888888888889
463,459,453,455,500.44444444444446,410.6666666666667
39,456,29,446,943.2222222222222,529.2222222222222
475,455,473,450,696.5555555555555,564.6666666666666
37,453,27,457,768.1111111111111,458.8888888888889
26,446,28,454,571.1111111111111,498.8888888888889
46,445,36,435,666.8888888888889,556.2222222222222
59,435,49,438,721.6666666666666,662.5555555555555
242,429,232,422,823.8888888888889,533.0
493,428,232,422,788.8888888888889,533.0
278,418,268,415,945.6666666666666,533.8888888888889
507,422,268,415,1335.3333333333333,533.8888888888889
397,409,387,399,524.4444444444445,489.1111111111111
388,405,381,397,614.0,422.77777777777777
502,398,492,389,574.0,462.1111111111111
203,401,198,398,931.0,528.7777777777778
233,394,223,399,633.8888888888889,462.22222222222223
479,389,475,391,609.3333333333334,415.1111111111111
363,374,353,364,757.4444444444445,529.2222222222222
329,368,325,362,761.5555555555555,476.0
361,344,351,334,619.0,596.6666666666666
85,336,75,329,467.8888888888889,387.8888888888889
365,335,355,331,855.2222222222222,522.8888888888889
247,333,238,331,656.2222222222222,389.77777777777777
336,331,334,334,675.6666666666666,433.44444444444446
489,329,481,328,700.1111111111111,532.8888888888889
242,329,238,331,904.4444444444445,389.77777777777777
253,306,243,305,941.3333333333334,419.0
222,306,219,304,868.2222222222222,779.7777777777778
259,303,249,304,816.1111111111111,662.2222222222222
401,299,391,293,875.4444444444445,497.1111111111111
397,298,387,296,828.1111111111111,425.1111111111111
291,276,285,269,998.1111111111111,497.8888888888889
198,258,188,251,595.5555555555555,571.1111111111111
507,252,503,251,1094.0,922.6666666666666
333,248,330,248,733.1111111111111,639.8888888888889
271,227,265,236,909.2222222222222,426.0
128,204,121,209,596.2222222222222,432.3333333333333
423,162,419,158,840.8888888888889,566.2222222222222
85,160,79,162,645.3333333333334,585.8888888888889
234,157,224,150,837.8888888888889,347.6666666666667
341,142,331,136,584.7777777777778,561.0
185,139,185,137,779.6666666666666,952.3333333333334
337,137,327,137,860.5555555555555,570.8888888888889
435,133,425,123,801.0,675.5555555555555
436,129,426,119,692.0,634.6666666666666
416,109,406,103,736.7777777777778,400.8888888888889
419,86,414,76,607.1111111111111,434.1111111111111
203,80,200,80,776.3333333333334,621.5555555555555
278,66,268,56,568.1111111111111,549.3333333333334
48,65,44,67,850.1111111111111,581.7777777777778
158,64,155,58,888.5555555555555,509.8888888888889
83,57,79,54,800.5555555555555,656.5555555555555
168,56,158,55,666.0,539.7777777777778
511,54,506,49,1052.0,376.6666666666667
260,52,250,60,902.3333333333334,635.8888888888889
218,49,212,58,582.3333333333334,625.1111111111111
487,43,485,48,639.0,470.22222222222223
319,27,309,23,432.44444444444446,469.22222222222223
